"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66"
"v",0,0.973139818245545,0,0,0.0512178851708182,0,0.921921933074727,0.973139818245545,0,0.0211552134401205,0.346945500417977,0,0,8.48168178428749,0,0,0,0,0.486569909122773,0,0,0,0,0,1.6154120982876,0,0,0,0,0.486569909122773,0,0,0,174,172,173,172,167,165,163,71,72,187,185,185,187,52,186,260,520,252,501,254,504,164,321,163,320,160,318,161,322,114,230,161,321
"v",0,0.957769181439653,0,0,0.957769181439653,0,0,0.957769181439653,0,0.0208210691617316,0.341465534252398,0,0,8.34771454981087,0,0,0,0,0,0,0.478884590719827,0,0.943402643718058,0,0,0,0,0,0,0,0.239442295359913,0,0.646494197471766,175,172,170,173,165,164,166,70,72,185,185,184,187,51,185,258,521,253,501,254,500,163,320,160,320,162,322,161,320,116,230,161,321
"v",0,0.918680399702862,0,0,0.0483515999843611,0,0.870328799718501,0.918680399702862,0,0.0199713130370187,0.327529533807108,0,0,8.00702495741021,0,0,0,0,0.459340199851431,0,0,0,0,0,1.52500946350675,0,0,0,0,0,0.229670099925715,0,0,172,174,173,173,165,166,163,69,73,185,184,186,184,53,187,261,517,253,502,253,503,162,321,160,320,161,318,161,321,117,228,161,320
"v",0,1.09980975883082,0,0,1.09980975883082,0,0,1.09980975883082,0,0.0239089078006699,0.392106087930987,0,0,9.58571031907279,0,0,0,0,0.549904879415408,0,0,0,0,0,1.08331261244835,0,0,0,0,0,0.274952439707704,0,0.742371587210801,173,174,172,173,166,163,168,70,73,185,185,186,186,52,185,260,520,251,502,253,503,160,321,161,319,163,321,162,322,118,229,160,320
"v",0,1.05650086444803,0,0,1.05650086444803,0,0,1.05650086444803,0,0.0229674100966962,0.836013727519742,0,0,9.20823911329437,0,0,0,0,0,0,0.528250432224013,0,0.776528135369299,0,0,0,0,0,0,0,0.264125216112006,1.42627616700483,0,174,173,172,172,163,163,164,72,69,184,183,186,185,51,184,258,520,255,502,254,501,161,320,161,320,161,321,161,318,119,230,160,321
"v",0,1.09449973623268,0,0,0.0576052492754044,0,1.03689448695728,1.09449973623268,0,0.0237934725267975,0.390212949439477,0,0,9.53942928000696,0,0,0,1.09449973623268,0,0,0,0,0,3.63373912429251,0,0,0,0,0,0,0.273624934058171,0,0,173,174,174,173,164,164,165,73,72,185,185,185,187,52,186,258,516,250,503,251,502,163,321,158,321,161,320,161,318,117,231,161,321
"v",0,1.05923297866248,0,0,0.0557491041401303,0,1.00348387452235,1.05923297866248,0,0.0230268038839669,0.377639583697057,0,0,9.23205164560558,0,0,0,0,0,1.05923297866248,0,0,1.75832674457971,0,0,0,0,0,0,0,0.264808244665619,0,0,171,172,173,172,165,165,165,71,71,182,186,184,185,52,186,260,520,253,502,250,504,162,318,159,321,163,319,161,321,117,229,161,320
"v",0,1.06697200494818,0,0,0.0561564213130623,0,1.01081558363512,1.06697200494818,0,0.0231950435858301,0.380398714807613,0,0,9.29950336944312,0,0,0,0,0,0,0.533486002474092,0,1.77117352821399,0,0,0,0,0,0,0,0.266743001237046,0,0,172,173,173,172,167,165,166,71,68,187,186,187,186,51,184,261,518,251,502,253,500,161,320,164,321,161,318,160,320,117,230,163,321
"v",0,1.02098703528754,0,0,1.02098703528754,0,0,1.02098703528754,0,0.0221953703323379,0.364004073450342,0,0,8.89870805492723,0,0,0,0,0,0,0.510493517643772,0,0,0,1.00567222975823,0,0,0,0,0,0.255246758821886,0,0.689166248819092,171,172,175,173,166,164,167,73,72,184,186,186,186,51,185,261,519,253,503,253,501,162,321,161,320,160,319,160,319,116,229,160,318
"v",0,0.997336501069367,0,0,0.997336501069367,0,0,0.997336501069367,0,0.0216812282841167,0.355572143859514,0,0,8.69257497774143,0,0,0,0,0,0,0.498668250534683,0,0,0,0.982376453553326,0,0,0,0,0,0.249334125267342,0,0.673202138221823,174,173,174,175,164,164,168,72,72,185,186,184,186,52,185,260,520,252,503,251,502,160,319,163,318,161,320,160,320,117,231,161,320
"v",0,0.911212808312848,0,0,0.047958568858571,0,0.863254239454277,0.911212808312848,0,0.0198089740937576,0.324867175137624,0,0,7.94193900297935,0,0,0,0,0,0,0.455606404156424,0,0,0,1.51261326179933,0,0,0,0,0,0.227803202078212,0,0,174,172,173,173,167,165,167,68,70,186,185,186,184,52,186,261,520,254,505,252,502,161,324,162,320,163,322,160,320,117,230,161,321
"v",0,0.964862038893625,0,0,0.964862038893625,0,0,0.964862038893625,0,0.0209752617150788,0.343994292127293,0.599892485051254,0,8.40953440214654,0,0,0,0,0,0,0.482431019446813,0,0.60545092940575,0,0,0,0,0,0,0,0.241215509723406,0,0.651281876253197,175,175,173,173,164,164,166,73,71,185,185,183,186,50,186,259,518,252,503,253,502,162,320,160,320,159,322,160,320,116,229,161,321
"v",0,1.05468162554316,0,0,0.0555095592391137,0,0.999172066304048,1.05468162554316,0,0.0229278614248514,0.376016927367563,0,0,9.19238300999725,0,0,0,0,0,0,0.527340812771581,0,1.75077149840165,0,0,0,0,0,0,0,0.263670406385791,0,0,173,173,173,173,166,164,166,71,72,185,186,184,184,51,185,260,519,252,503,254,502,163,318,160,321,164,319,160,320,115,229,161,318
"v",0,0.927057770686224,0,0,0.0487925142466433,0,0.878265256439581,0.927057770686224,0,0.0201534297975266,0.330516248679437,0,0,8.08004035924414,0,0,0,0,0.463528885343112,0,0,0,1.53891589933913,0,0,0,0,0,0,0,0.231764442671556,0,0,171,173,174,173,167,163,165,71,71,185,186,184,186,51,183,259,520,252,500,252,502,161,319,160,320,161,321,163,321,117,231,161,320
"v",0,0.939734586374834,0,0,0.0494597150723597,0,0.890274871302475,0.939734586374834,0,0.020429012747279,0.743616064000955,0,0,8.19052881598277,0,0,0,0,0,0,0.469867293187417,0,0,0,1.32502576678852,0,0,0,0,0,0.234933646593709,0,0,173,173,174,172,167,166,166,72,70,185,183,186,184,51,185,259,520,252,503,253,502,163,323,161,321,161,321,161,319,116,230,161,320
"v",0,1.02496028323658,0,0,1.02496028323658,0,0,1.02496028323658,0,0.0222817452877517,0.365420622719128,0,0,8.93333804757775,0,0,0,0,0.512480141618289,0,0,0,0,0,1.00958587898803,0,0,0,0,0,0.256240070809145,1.38369638236938,0,174,173,173,174,165,164,165,72,70,184,185,185,185,51,183,260,518,251,502,253,503,162,322,162,321,161,320,161,322,117,230,160,322
"v",0,0.919848846876994,0,0,0.919848846876994,0,0,0.919848846876994,0,0.0199967140625433,0.32794611062571,0.57190602218874,0,8.01720889699106,0,0,0,0,0.459924423438497,0,0,0,0.577205151415314,0,0,0,0,0,0,0,0.229962211719248,0,0.620897971641971,173,173,174,175,163,165,166,71,71,186,186,183,187,53,184,260,520,252,501,252,502,161,319,161,320,162,321,162,321,117,230,162,319
"v",0,0.973139818245545,0,0,0.0512178851708182,0,0.921921933074727,0.973139818245545,0,0.0211552134401205,0.346945500417977,0,0,8.48168178428749,0,0,0,0,0.486569909122773,0,0,0,0,0,1.6154120982876,0,0,0,0,0.486569909122773,0,0,0,174,172,173,172,167,165,163,71,72,187,185,185,187,52,186,260,520,252,501,254,504,164,321,163,320,160,318,161,322,114,230,161,321
"v",0,0.957769181439653,0,0,0.957769181439653,0,0,0.957769181439653,0,0.0208210691617316,0.341465534252398,0,0,8.34771454981087,0,0,0,0,0,0,0.478884590719827,0,0.943402643718058,0,0,0,0,0,0,0,0.239442295359913,0,0.646494197471766,175,172,170,173,165,164,166,70,72,185,185,184,187,51,185,258,521,253,501,254,500,163,320,160,320,162,322,161,320,116,230,161,321
"v",0,0.918680399702862,0,0,0.0483515999843611,0,0.870328799718501,0.918680399702862,0,0.0199713130370187,0.327529533807108,0,0,8.00702495741021,0,0,0,0,0.459340199851431,0,0,0,0,0,1.52500946350675,0,0,0,0,0,0.229670099925715,0,0,172,174,173,173,165,166,163,69,73,185,184,186,184,53,187,261,517,253,502,253,503,162,321,160,320,161,318,161,321,117,228,161,320
"v",0,1.09980975883082,0,0,1.09980975883082,0,0,1.09980975883082,0,0.0239089078006699,0.392106087930987,0,0,9.58571031907279,0,0,0,0,0.549904879415408,0,0,0,0,0,1.08331261244835,0,0,0,0,0,0.274952439707704,0,0.742371587210801,173,174,172,173,166,163,168,70,73,185,185,186,186,52,185,260,520,251,502,253,503,160,321,161,319,163,321,162,322,118,229,160,320
"v",0,1.05650086444803,0,0,1.05650086444803,0,0,1.05650086444803,0,0.0229674100966962,0.836013727519742,0,0,9.20823911329437,0,0,0,0,0,0,0.528250432224013,0,0.776528135369299,0,0,0,0,0,0,0,0.264125216112006,1.42627616700483,0,174,173,172,172,163,163,164,72,69,184,183,186,185,51,184,258,520,255,502,254,501,161,320,161,320,161,321,161,318,119,230,160,321
"v",0,1.09449973623268,0,0,0.0576052492754044,0,1.03689448695728,1.09449973623268,0,0.0237934725267975,0.390212949439477,0,0,9.53942928000696,0,0,0,1.09449973623268,0,0,0,0,0,3.63373912429251,0,0,0,0,0,0,0.273624934058171,0,0,173,174,174,173,164,164,165,73,72,185,185,185,187,52,186,258,516,250,503,251,502,163,321,158,321,161,320,161,318,117,231,161,321
"v",0,1.05923297866248,0,0,0.0557491041401303,0,1.00348387452235,1.05923297866248,0,0.0230268038839669,0.377639583697057,0,0,9.23205164560558,0,0,0,0,0,1.05923297866248,0,0,1.75832674457971,0,0,0,0,0,0,0,0.264808244665619,0,0,171,172,173,172,165,165,165,71,71,182,186,184,185,52,186,260,520,253,502,250,504,162,318,159,321,163,319,161,321,117,229,161,320
"v",0,1.06697200494818,0,0,0.0561564213130623,0,1.01081558363512,1.06697200494818,0,0.0231950435858301,0.380398714807613,0,0,9.29950336944312,0,0,0,0,0,0,0.533486002474092,0,1.77117352821399,0,0,0,0,0,0,0,0.266743001237046,0,0,172,173,173,172,167,165,166,71,68,187,186,187,186,51,184,261,518,251,502,253,500,161,320,164,321,161,318,160,320,117,230,163,321
"v",0,1.02098703528754,0,0,1.02098703528754,0,0,1.02098703528754,0,0.0221953703323379,0.364004073450342,0,0,8.89870805492723,0,0,0,0,0,0,0.510493517643772,0,0,0,1.00567222975823,0,0,0,0,0,0.255246758821886,0,0.689166248819092,171,172,175,173,166,164,167,73,72,184,186,186,186,51,185,261,519,253,503,253,501,162,321,161,320,160,319,160,319,116,229,160,318
"v",0,0.997336501069367,0,0,0.997336501069367,0,0,0.997336501069367,0,0.0216812282841167,0.355572143859514,0,0,8.69257497774143,0,0,0,0,0,0,0.498668250534683,0,0,0,0.982376453553326,0,0,0,0,0,0.249334125267342,0,0.673202138221823,174,173,174,175,164,164,168,72,72,185,186,184,186,52,185,260,520,252,503,251,502,160,319,163,318,161,320,160,320,117,231,161,320
"v",0,0.911212808312848,0,0,0.047958568858571,0,0.863254239454277,0.911212808312848,0,0.0198089740937576,0.324867175137624,0,0,7.94193900297935,0,0,0,0,0,0,0.455606404156424,0,0,0,1.51261326179933,0,0,0,0,0,0.227803202078212,0,0,174,172,173,173,167,165,167,68,70,186,185,186,184,52,186,261,520,254,505,252,502,161,324,162,320,163,322,160,320,117,230,161,321
"v",0,0.964862038893625,0,0,0.964862038893625,0,0,0.964862038893625,0,0.0209752617150788,0.343994292127293,0.599892485051254,0,8.40953440214654,0,0,0,0,0,0,0.482431019446813,0,0.60545092940575,0,0,0,0,0,0,0,0.241215509723406,0,0.651281876253197,175,175,173,173,164,164,166,73,71,185,185,183,186,50,186,259,518,252,503,253,502,162,320,160,320,159,322,160,320,116,229,161,321
"v",0,1.05468162554316,0,0,0.0555095592391137,0,0.999172066304048,1.05468162554316,0,0.0229278614248514,0.376016927367563,0,0,9.19238300999725,0,0,0,0,0,0,0.527340812771581,0,1.75077149840165,0,0,0,0,0,0,0,0.263670406385791,0,0,173,173,173,173,166,164,166,71,72,185,186,184,184,51,185,260,519,252,503,254,502,163,318,160,321,164,319,160,320,115,229,161,318
"v",0,0.927057770686224,0,0,0.0487925142466433,0,0.878265256439581,0.927057770686224,0,0.0201534297975266,0.330516248679437,0,0,8.08004035924414,0,0,0,0,0.463528885343112,0,0,0,1.53891589933913,0,0,0,0,0,0,0,0.231764442671556,0,0,171,173,174,173,167,163,165,71,71,185,186,184,186,51,183,259,520,252,500,252,502,161,319,160,320,161,321,163,321,117,231,161,320
"v",0,0.939734586374834,0,0,0.0494597150723597,0,0.890274871302475,0.939734586374834,0,0.020429012747279,0.743616064000955,0,0,8.19052881598277,0,0,0,0,0,0,0.469867293187417,0,0,0,1.32502576678852,0,0,0,0,0,0.234933646593709,0,0,173,173,174,172,167,166,166,72,70,185,183,186,184,51,185,259,520,252,503,253,502,163,323,161,321,161,321,161,319,116,230,161,320
"v",0,1.02496028323658,0,0,1.02496028323658,0,0,1.02496028323658,0,0.0222817452877517,0.365420622719128,0,0,8.93333804757775,0,0,0,0,0.512480141618289,0,0,0,0,0,1.00958587898803,0,0,0,0,0,0.256240070809145,1.38369638236938,0,174,173,173,174,165,164,165,72,70,184,185,185,185,51,183,260,518,251,502,253,503,162,322,162,321,161,320,161,322,117,230,160,322
"v",0,0.919848846876994,0,0,0.919848846876994,0,0,0.919848846876994,0,0.0199967140625433,0.32794611062571,0.57190602218874,0,8.01720889699106,0,0,0,0,0.459924423438497,0,0,0,0.577205151415314,0,0,0,0,0,0,0,0.229962211719248,0,0.620897971641971,173,173,174,175,163,165,166,71,71,186,186,183,187,53,184,260,520,252,501,252,502,161,319,161,320,162,321,162,321,117,230,162,319
"v",0,0.973139818245545,0,0,0.0512178851708182,0,0.921921933074727,0.973139818245545,0,0.0211552134401205,0.346945500417977,0,0,8.48168178428749,0,0,0,0,0.486569909122773,0,0,0,0,0,1.6154120982876,0,0,0,0,0.486569909122773,0,0,0,174,172,173,172,167,165,163,71,72,187,185,185,187,52,186,260,520,252,501,254,504,164,321,163,320,160,318,161,322,114,230,161,321
"v",0,0.957769181439653,0,0,0.957769181439653,0,0,0.957769181439653,0,0.0208210691617316,0.341465534252398,0,0,8.34771454981087,0,0,0,0,0,0,0.478884590719827,0,0.943402643718058,0,0,0,0,0,0,0,0.239442295359913,0,0.646494197471766,175,172,170,173,165,164,166,70,72,185,185,184,187,51,185,258,521,253,501,254,500,163,320,160,320,162,322,161,320,116,230,161,321
"v",0,0.918680399702862,0,0,0.0483515999843611,0,0.870328799718501,0.918680399702862,0,0.0199713130370187,0.327529533807108,0,0,8.00702495741021,0,0,0,0,0.459340199851431,0,0,0,0,0,1.52500946350675,0,0,0,0,0,0.229670099925715,0,0,172,174,173,173,165,166,163,69,73,185,184,186,184,53,187,261,517,253,502,253,503,162,321,160,320,161,318,161,321,117,228,161,320
"v",0,1.09980975883082,0,0,1.09980975883082,0,0,1.09980975883082,0,0.0239089078006699,0.392106087930987,0,0,9.58571031907279,0,0,0,0,0.549904879415408,0,0,0,0,0,1.08331261244835,0,0,0,0,0,0.274952439707704,0,0.742371587210801,173,174,172,173,166,163,168,70,73,185,185,186,186,52,185,260,520,251,502,253,503,160,321,161,319,163,321,162,322,118,229,160,320
"v",0,1.05650086444803,0,0,1.05650086444803,0,0,1.05650086444803,0,0.0229674100966962,0.836013727519742,0,0,9.20823911329437,0,0,0,0,0,0,0.528250432224013,0,0.776528135369299,0,0,0,0,0,0,0,0.264125216112006,1.42627616700483,0,174,173,172,172,163,163,164,72,69,184,183,186,185,51,184,258,520,255,502,254,501,161,320,161,320,161,321,161,318,119,230,160,321
"v",0,1.09449973623268,0,0,0.0576052492754044,0,1.03689448695728,1.09449973623268,0,0.0237934725267975,0.390212949439477,0,0,9.53942928000696,0,0,0,1.09449973623268,0,0,0,0,0,3.63373912429251,0,0,0,0,0,0,0.273624934058171,0,0,173,174,174,173,164,164,165,73,72,185,185,185,187,52,186,258,516,250,503,251,502,163,321,158,321,161,320,161,318,117,231,161,321
"v",0,1.05923297866248,0,0,0.0557491041401303,0,1.00348387452235,1.05923297866248,0,0.0230268038839669,0.377639583697057,0,0,9.23205164560558,0,0,0,0,0,1.05923297866248,0,0,1.75832674457971,0,0,0,0,0,0,0,0.264808244665619,0,0,171,172,173,172,165,165,165,71,71,182,186,184,185,52,186,260,520,253,502,250,504,162,318,159,321,163,319,161,321,117,229,161,320
"v",0,1.06697200494818,0,0,0.0561564213130623,0,1.01081558363512,1.06697200494818,0,0.0231950435858301,0.380398714807613,0,0,9.29950336944312,0,0,0,0,0,0,0.533486002474092,0,1.77117352821399,0,0,0,0,0,0,0,0.266743001237046,0,0,172,173,173,172,167,165,166,71,68,187,186,187,186,51,184,261,518,251,502,253,500,161,320,164,321,161,318,160,320,117,230,163,321
"v",0,1.02098703528754,0,0,1.02098703528754,0,0,1.02098703528754,0,0.0221953703323379,0.364004073450342,0,0,8.89870805492723,0,0,0,0,0,0,0.510493517643772,0,0,0,1.00567222975823,0,0,0,0,0,0.255246758821886,0,0.689166248819092,171,172,175,173,166,164,167,73,72,184,186,186,186,51,185,261,519,253,503,253,501,162,321,161,320,160,319,160,319,116,229,160,318
"v",0,0.997336501069367,0,0,0.997336501069367,0,0,0.997336501069367,0,0.0216812282841167,0.355572143859514,0,0,8.69257497774143,0,0,0,0,0,0,0.498668250534683,0,0,0,0.982376453553326,0,0,0,0,0,0.249334125267342,0,0.673202138221823,174,173,174,175,164,164,168,72,72,185,186,184,186,52,185,260,520,252,503,251,502,160,319,163,318,161,320,160,320,117,231,161,320
"v",0,0.911212808312848,0,0,0.047958568858571,0,0.863254239454277,0.911212808312848,0,0.0198089740937576,0.324867175137624,0,0,7.94193900297935,0,0,0,0,0,0,0.455606404156424,0,0,0,1.51261326179933,0,0,0,0,0,0.227803202078212,0,0,174,172,173,173,167,165,167,68,70,186,185,186,184,52,186,261,520,254,505,252,502,161,324,162,320,163,322,160,320,117,230,161,321
"v",0,0.964862038893625,0,0,0.964862038893625,0,0,0.964862038893625,0,0.0209752617150788,0.343994292127293,0.599892485051254,0,8.40953440214654,0,0,0,0,0,0,0.482431019446813,0,0.60545092940575,0,0,0,0,0,0,0,0.241215509723406,0,0.651281876253197,175,175,173,173,164,164,166,73,71,185,185,183,186,50,186,259,518,252,503,253,502,162,320,160,320,159,322,160,320,116,229,161,321
"v",0,1.05468162554316,0,0,0.0555095592391137,0,0.999172066304048,1.05468162554316,0,0.0229278614248514,0.376016927367563,0,0,9.19238300999725,0,0,0,0,0,0,0.527340812771581,0,1.75077149840165,0,0,0,0,0,0,0,0.263670406385791,0,0,173,173,173,173,166,164,166,71,72,185,186,184,184,51,185,260,519,252,503,254,502,163,318,160,321,164,319,160,320,115,229,161,318
"v",0,0.927057770686224,0,0,0.0487925142466433,0,0.878265256439581,0.927057770686224,0,0.0201534297975266,0.330516248679437,0,0,8.08004035924414,0,0,0,0,0.463528885343112,0,0,0,1.53891589933913,0,0,0,0,0,0,0,0.231764442671556,0,0,171,173,174,173,167,163,165,71,71,185,186,184,186,51,183,259,520,252,500,252,502,161,319,160,320,161,321,163,321,117,231,161,320
"v",0,0.939734586374834,0,0,0.0494597150723597,0,0.890274871302475,0.939734586374834,0,0.020429012747279,0.743616064000955,0,0,8.19052881598277,0,0,0,0,0,0,0.469867293187417,0,0,0,1.32502576678852,0,0,0,0,0,0.234933646593709,0,0,173,173,174,172,167,166,166,72,70,185,183,186,184,51,185,259,520,252,503,253,502,163,323,161,321,161,321,161,319,116,230,161,320
